id,argument_type,category,description,strength_indicators,weaknesses,examples,evidence_requirements,fallacy_risks
18,probabilistic,statistical,"Arguments based on likelihood and probability","Statistical rigor, uncertainty quantification","Probability misinterpretation","Risk analysis, forecasting","Historical data, statistical models","Gambler's fallacy, base rate neglect"
19,counterfactual,analytical,"Arguments about what would have happened under different conditions","Clear counterfactual scenario, causal understanding","Unprovable alternatives","Historical analysis, policy evaluation","Causal models, comparative cases","Post hoc reasoning, false cause"
20,definitional,linguistic,"Arguments based on the meaning of terms and concepts","Clear definitions, consistent usage","Definition disputes, stipulation","Legal interpretation, conceptual analysis","Dictionary sources, usage patterns","Equivocation, definition manipulation"
21,categorical,logical,"Arguments based on classification and category membership","Clear categories, consistent criteria","Boundary problems, false dichotomies","Taxonomies, diagnostic criteria","Classification systems, boundary rules","False dichotomy, category error"
22,evolutionary,biological,"Arguments based on natural selection and adaptation","Evolutionary mechanism, adaptive advantage","Just-so stories, group selection","Behavioral ecology, adaptation studies","Phylogenetic data, fitness measures","Naturalistic fallacy, teleological thinking"
23,historical,temporal,"Arguments based on patterns from the past","Documented events, pattern recognition","Context differences, cherry picking","Trend analysis, historical precedent","Historical records, chronological data","Post hoc reasoning, historian's fallacy"
24,systemic,holistic,"Arguments about properties of entire systems","Systems thinking, emergent properties","Complexity, reductionism limits","Organizational analysis, ecosystem studies","System mapping, feedback analysis","Composition fallacy, systems fallacy"
25,reductionist,analytical,"Arguments that explain complex phenomena through simpler parts","Clear decomposition, mechanistic explanation","Loses emergent properties","Scientific analysis, troubleshooting","Component analysis, mechanistic models","Reductive fallacy, oversimplification"
26,holistic,synthetic,"Arguments that emphasize emergent properties of wholes","Emergent properties, synergy effects","Vague explanation, mystification","Systems theory, gestalt psychology","Systems analysis, pattern recognition","Composition fallacy, holistic fallacy"
27,dialectical,philosophical,"Arguments based on opposing forces creating synthesis","Contradiction recognition, synthesis","Forced oppositions, false synthesis","Marxist analysis, conflict resolution","Opposing viewpoints, resolution mechanisms","False dilemma, forced synthesis"
28,phenomenological,experiential,"Arguments based on direct lived experience","First-person authority, experiential validity","Subjectivity, generalization limits","Qualitative research, personal testimony","Experiential accounts, introspective data","Anecdotal evidence, subjective fallacy"
29,hermeneutic,interpretive,"Arguments based on interpretation of meaning and context","Contextual understanding, interpretive skill","Interpretive bias, relativism","Text analysis, cultural studies","Contextual data, interpretive frameworks","Hermeneutic circle, interpretive bias"
30,constructivist,epistemological,"Arguments that knowledge is actively constructed","Social construction, multiple perspectives","Relativism, objectivity loss","Educational theory, social construction","Construction processes, perspective analysis","Relativistic fallacy, construction bias"
31,positivist,empirical,"Arguments requiring empirical verification","Objective measurement, verification","Limits of measurement, scientism","Scientific method, quantitative research","Measurable variables, experimental data","Scientism, measurement bias"
32,normative,prescriptive,"Arguments about how things ought to be","Value clarity, moral reasoning","Is-ought problem, value conflicts","Ethics, policy recommendations","Value frameworks, moral principles","Is-ought fallacy, moralistic fallacy"
33,descriptive,observational,"Arguments about how things actually are","Accurate observation, objective description","Observer bias, limited scope","Empirical research, documentation","Observational data, measurement tools","Naturalistic fallacy, descriptive bias"
34,prescriptive,practical,"Arguments about what actions should be taken","Clear recommendations, implementation focus","Action bias, unintended consequences","Policy recommendations, best practices","Action research, implementation studies","Ought-is fallacy, action bias"
35,cost_benefit,economic,"Arguments based on weighing costs against benefits","Quantified costs and benefits, clear metrics","Measurement difficulties, distributional effects","Business decisions, policy analysis","Financial data, impact measures","Sunk cost fallacy, opportunity cost neglect"
36,risk_assessment,analytical,"Arguments based on probability and impact of risks","Risk quantification, mitigation strategies","Risk perception bias, uncertainty","Safety analysis, investment decisions","Risk data, probability estimates","Availability heuristic, risk compensation"
37,game_theoretic,strategic,"Arguments based on strategic interaction between actors","Strategic thinking, equilibrium analysis","Rationality assumptions, complexity","Negotiation, competitive analysis","Strategic data, behavioral models","Rationality bias, strategic fallacy"
38,network_effects,systemic,"Arguments based on value increasing with network size","Network growth, user benefits","Network externalities, tipping points","Platform economics, social networks","Network data, adoption metrics","Network bias, lock-in effects"
39,path_dependent,historical,"Arguments that historical sequence determines outcomes","Historical sequence, lock-in effects","Determinism, alternative paths","Technology adoption, institutional development","Historical data, sequence analysis","Historical determinism, path bias"
40,emergent,systemic,"Arguments about higher-level properties from lower-level interactions","Emergent properties, level analysis","Emergence mystification, reductionism","Complex systems, collective behavior","Multi-level data, interaction analysis","Emergence fallacy, level confusion"
41,replication,scientific,"Arguments based on reproducible results","Independent replication, consistent results","Publication bias, replication crisis","Scientific validation, quality control","Replication studies, meta-analysis","Replication bias, file drawer effect"
42,meta_analysis,statistical,"Arguments synthesizing multiple studies","Systematic review, statistical synthesis","Study quality variation, publication bias","Evidence-based medicine, policy reviews","Multiple studies, quality assessment","Meta-analysis bias, heterogeneity issues"
43,longitudinal,temporal,"Arguments based on changes over time","Time series data, temporal patterns","Temporal bias, cohort effects","Developmental studies, trend analysis","Time series data, repeated measures","Temporal fallacy, cohort bias"
44,cross_sectional,comparative,"Arguments based on snapshot comparisons","Point-in-time comparison, control groups","Temporal bias, cohort differences","Survey research, comparative studies","Cross-sectional data, comparison groups","Cross-sectional bias, snapshot fallacy"
45,natural_experiment,quasi_experimental,"Arguments based on naturally occurring experimental conditions","Natural variation, quasi-experimental design","Confounding variables, selection bias","Policy evaluation, observational studies","Natural variation, comparison groups","Selection bias, confounding effects"
46,intervention,experimental,"Arguments based on controlled manipulation","Controlled conditions, causal inference","Artificial conditions, external validity","Clinical trials, field experiments","Experimental design, control groups","Hawthorne effect, experimenter bias"
47,correlational,statistical,"Arguments based on co-variation between variables","Statistical correlation, pattern recognition","Correlation vs causation, third variables","Survey research, observational studies","Correlation data, statistical analysis","Correlation implies causation, third variable bias"
48,eliminative,logical,"Arguments that rule out alternative explanations","Comprehensive alternatives, process of elimination","Incomplete alternatives, false elimination","Differential diagnosis, root cause analysis","Alternative hypotheses, elimination criteria","False elimination, incomplete alternatives"
49,parsimony,methodological,"Arguments favoring simpler explanations","Simplicity, explanatory economy","Oversimplification, complexity neglect","Scientific theory selection, model choice","Complexity metrics, explanatory power","Oversimplification, simplicity bias"
50,coherence,epistemological,"Arguments based on consistency with established knowledge","Logical consistency, knowledge integration","Coherence bias, paradigm lock-in","Theory integration, knowledge synthesis","Existing knowledge base, consistency checks","Coherence bias, paradigm bias"
